Steps,Total,Answered,Expired,ExpiredPercentage,PercentageExpired1,PercentageExpired2,PercentageExpired3,PercentageExpired4,Expired1Percentage,Expired2Percentage,Expired3Percentage,Expired4Percentage,MRT,MRT1,MRT2,MRT3,MRT4,Help
100,84,73,11,13.1,0.0,9.09,18.18,72.73,0.0,3.03,13.33,57.14,8.56,7.96,8.35,10.76,7.16,"[0, 0, 0, 0, 0, 0]"
100,79,65,14,17.72,0.0,21.43,35.71,42.86,0.0,13.04,29.41,28.57,9.09,8.09,9.52,10.63,8.51,"[0, 0, 0, 0, 0, 0]"
100,72,67,5,6.94,0.0,40.0,40.0,20.0,0.0,7.41,10.53,16.67,8.34,8.03,8.24,8.26,10.42,"[0, 0, 0, 0, 0, 0]"
100,82,77,5,6.1,20.0,0.0,40.0,40.0,3.85,0.0,14.29,14.29,8.38,7.38,9.03,8.26,9.06,"[0, 0, 0, 0, 0, 0]"
100,83,72,11,13.25,0.0,27.27,9.09,63.64,0.0,13.64,4.35,63.64,9.77,7.71,11.51,10.83,9.62,"[0, 0, 0, 0, 0, 0]"
100,87,76,11,12.64,9.09,18.18,0.0,72.73,3.7,8.0,0.0,53.33,8.67,7.67,8.71,8.97,11.42,"[0, 0, 0, 0, 0, 0]"
100,81,77,4,4.94,25.0,0.0,25.0,50.0,3.03,0.0,5.26,20.0,9.07,8.74,8.88,9.28,10.36,"[0, 0, 0, 0, 0, 0]"
100,73,66,7,9.59,0.0,0.0,42.86,57.14,0.0,0.0,16.67,40.0,8.49,7.31,8.97,9.65,9.21,"[0, 0, 0, 0, 0, 0]"
100,83,76,7,8.43,0.0,14.29,42.86,42.86,0.0,3.23,13.04,37.5,8.92,7.62,8.94,9.78,10.76,"[0, 0, 0, 0, 0, 0]"
100,74,70,4,5.41,0.0,25.0,50.0,25.0,0.0,3.12,15.38,25.0,9.21,7.8,10.19,9.46,9.91,"[0, 0, 0, 0, 0, 0]"
100,88,79,9,10.23,11.11,11.11,22.22,55.56,4.0,3.7,10.0,31.25,8.23,7.91,7.1,9.98,8.76,"[0, 0, 0, 0, 0, 0]"
100,85,81,4,4.71,0.0,50.0,25.0,25.0,0.0,8.0,4.35,6.67,9.85,10.2,9.25,8.71,12.09,"[0, 0, 0, 0, 0, 0]"
100,73,64,9,12.33,0.0,22.22,33.33,44.44,0.0,8.7,15.79,36.36,9.12,8.79,8.27,9.54,11.65,"[0, 0, 0, 0, 0, 0]"
100,69,62,7,10.14,0.0,14.29,0.0,85.71,0.0,4.0,0.0,46.15,7.47,6.39,6.9,9.27,8.85,"[0, 0, 0, 0, 0, 0]"
