Total,Answered,Expired,%Expired,MRT,MRT1,MRT2,MRT3,MRT4,#Runs
41,22,19,46.34,12.13,9.38,14.03,15.25,12.85,50
43,31,12,27.91,9.25,8.93,7.63,14.33,9.18,50
43,31,12,27.91,11.38,10.9,9.87,13.3,11.86,50
37,20,17,45.95,12.45,12.02,11.98,15.1,8.66,50
35,32,3,8.57,8.72,6.68,10.0,9.52,8.45,50
33,23,10,30.3,10.22,9.69,10.78,8.64,11.54,50
38,28,10,26.32,9.93,7.5,12.22,10.69,6.5,50
30,26,4,13.33,9.23,6.61,9.93,10.47,9.17,50
49,27,22,44.9,10.89,8.9,10.63,13.5,9.56,50
40,23,17,42.5,8.27,6.86,8.68,9.46,10.89,50
50,36,14,28.0,10.65,8.93,12.57,11.15,11.56,50
43,27,16,37.21,11.5,9.6,11.71,12.36,12.65,50
39,33,6,15.38,11.33,10.19,9.95,12.67,12.65,50
36,21,15,41.67,10.25,10.86,8.31,13.14,13.57,50
36,19,17,47.22,10.22,8.47,11.13,12.09,13.9,50
44,33,11,25.0,9.54,8.29,11.24,9.4,6.32,50
42,30,12,28.57,10.21,8.34,12.28,11.0,11.51,50
35,20,15,42.86,10.93,8.3,13.15,14.07,10.96,50
44,26,18,40.91,10.32,8.7,8.55,12.87,14.85,50
34,28,6,17.65,11.92,7.42,12.65,14.87,14.12,50
35,26,9,25.71,9.19,5.5,10.0,10.88,8.37,50
43,28,15,34.88,10.24,7.96,13.07,10.6,9.76,50
37,18,19,51.35,8.59,7.41,9.55,8.93,8.26,50
47,35,12,25.53,9.65,7.84,9.14,12.55,7.52,50
42,29,13,30.95,11.42,11.3,11.87,10.9,11.61,50
40,35,5,12.5,8.65,8.17,8.79,9.31,9.25,50
38,30,8,21.05,8.88,7.79,8.81,10.0,10.45,50
47,29,18,38.3,10.07,9.77,8.92,12.61,8.92,50
45,30,15,33.33,11.94,9.55,14.47,16.45,8.81,50
37,27,10,27.03,9.15,7.65,8.47,10.92,11.02,50
38,28,10,26.32,11.02,9.64,8.29,12.7,11.63,50
40,23,17,42.5,11.67,10.56,12.99,11.64,16.18,50
36,25,11,30.56,10.29,9.54,9.15,10.93,11.45,50
37,26,11,29.73,10.01,8.77,9.44,12.33,13.36,50
42,34,8,19.05,8.7,7.92,8.51,11.25,8.94,50
43,27,16,37.21,11.35,12.86,9.37,12.44,10.42,50
33,28,5,15.15,8.76,8.72,6.93,8.91,12.29,50
33,22,11,33.33,11.56,12.49,13.26,8.09,11.75,50
34,22,12,35.29,11.13,10.69,10.63,8.82,13.83,50
31,27,4,12.9,9.08,8.38,7.17,10.07,14.71,50
41,23,18,43.9,11.54,10.82,15.1,7.69,10.37,50
34,28,6,17.65,9.9,7.35,10.79,12.6,11.62,50
31,27,4,12.9,9.87,9.37,9.39,9.47,12.56,50
47,30,17,36.17,11.14,10.65,11.84,11.39,9.55,50
37,30,7,18.92,10.81,6.58,9.73,12.51,16.51,50
40,22,18,45.0,12.19,8.93,13.68,14.76,14.06,50
41,29,12,29.27,10.18,8.58,8.72,15.04,5.39,50
50,33,17,34.0,9.9,8.92,10.68,11.29,12.58,50
39,25,14,35.9,9.38,7.25,9.66,12.72,10.11,50
39,31,8,20.51,9.96,9.28,12.04,7.75,10.14,50
35,23,12,34.29,10.41,8.83,13.5,9.48,11.73,50
44,35,9,20.45,10.94,10.31,12.03,8.05,12.83,50
39,33,6,15.38,9.64,7.73,10.63,12.89,7.29,50
37,26,11,29.73,10.2,7.83,10.17,10.68,12.14,50
40,30,10,25.0,11.5,12.37,12.08,9.23,14.2,50
38,35,3,7.89,9.57,8.66,9.73,9.74,10.93,50
37,28,9,24.32,9.79,9.79,8.38,13.86,5.84,50
43,22,21,48.84,9.52,9.28,10.53,5.32,9.51,50
33,30,3,9.09,9.99,7.3,11.29,10.81,12.97,50
37,30,7,18.92,9.87,8.72,9.69,13.43,8.15,50
41,29,12,29.27,10.72,10.54,10.79,10.38,11.75,50
37,29,8,21.62,9.67,8.73,9.97,10.39,9.94,50
45,24,21,46.67,11.86,10.29,13.26,11.16,11.93,50
39,33,6,15.38,9.23,7.09,9.72,11.68,8.78,50
36,23,13,36.11,10.36,7.45,10.58,10.59,13.03,50
41,27,14,34.15,12.56,12.58,12.28,13.63,10.31,50
46,29,17,36.96,9.5,8.95,8.74,10.38,9.2,50
43,21,22,51.16,12.44,11.38,10.28,17.89,14.52,50
44,34,10,22.73,7.93,8.12,9.23,4.96,7.4,50
46,30,16,34.78,10.26,8.51,14.01,9.49,12.14,50
38,33,5,13.16,10.27,8.1,12.95,11.92,11.83,50
42,25,17,40.48,11.92,13.32,9.52,12.28,14.59,50
40,31,9,22.5,9.23,7.07,7.83,11.71,12.27,50
40,33,7,17.5,8.79,8.08,8.88,10.47,7.18,50
39,27,12,30.77,9.88,9.02,11.07,8.14,10.54,50
39,35,4,10.26,9.73,8.46,8.83,13.68,11.35,50
41,29,12,29.27,10.06,9.74,9.74,10.65,10.31,50
39,26,13,33.33,9.52,8.48,12.09,8.64,7.45,50
42,27,15,35.71,10.36,7.06,11.16,13.63,8.95,50
29,21,8,27.59,10.04,8.74,8.23,8.77,14.68,50
41,22,19,46.34,11.13,9.53,12.21,10.23,14.74,50
37,31,6,16.22,10.26,7.97,12.19,13.14,9.53,50
48,30,18,37.5,11.77,10.06,11.27,15.75,10.55,50
40,32,8,20.0,10.45,9.86,10.14,11.26,11.08,50
48,29,19,39.58,9.4,8.26,9.49,9.83,18.15,50
40,30,10,25.0,10.1,9.68,9.66,10.62,11.46,50
42,36,6,14.29,8.46,7.4,9.2,7.85,14.54,50
46,37,9,19.57,8.91,7.44,10.21,8.19,11.13,50
43,24,19,44.19,9.2,7.45,11.73,8.56,0,50
22,19,3,13.64,8.82,6.97,7.54,9.61,11.4,50
50,31,19,38.0,9.48,7.62,10.69,12.05,6.32,50
49,23,26,53.06,10.49,10.37,13.86,7.97,6.52,50
39,30,9,23.08,10.63,9.2,11.43,10.33,9.99,50
45,29,16,35.56,9.85,8.48,10.29,10.82,12.69,50
46,33,13,28.26,9.4,7.43,10.33,12.01,9.37,50
37,29,8,21.62,9.33,8.37,10.38,10.36,8.34,50
36,21,15,41.67,11.11,8.75,13.25,9.38,12.81,50
40,29,11,27.5,11.79,13.24,11.85,11.09,7.0,50
41,28,13,31.71,10.17,6.89,12.83,12.52,9.19,50
42,34,8,19.05,8.82,8.63,8.89,9.95,5.48,50
36,25,11,30.56,10.04,9.34,10.54,10.8,10.89,50
32,26,6,18.75,8.97,8.33,8.51,11.41,9.04,50
36,32,4,11.11,9.33,8.93,9.73,8.99,10.6,50
42,33,9,21.43,10.7,9.5,11.82,10.69,0,50
40,33,7,17.5,9.33,8.55,9.2,10.33,12.07,50
44,32,12,27.27,10.94,7.24,10.81,10.38,16.39,50
39,30,9,23.08,8.79,7.42,10.56,9.93,10.82,50
48,26,22,45.83,9.75,8.24,10.57,10.72,8.73,50
43,30,13,30.23,8.71,8.03,10.15,7.68,9.95,50
34,22,12,35.29,11.56,9.79,13.57,13.17,7.82,50
47,29,18,38.3,10.5,8.93,11.26,13.17,7.32,50
41,20,21,51.22,10.83,9.02,12.6,14.03,7.68,50
37,28,9,24.32,9.22,7.1,10.52,10.51,10.75,50
31,23,8,25.81,9.03,8.89,6.58,11.34,6.98,50
32,19,13,40.62,9.83,8.66,9.13,11.51,9.84,50
43,27,16,37.21,10.8,7.8,15.94,8.79,11.42,50
43,34,9,20.93,10.33,8.17,10.81,13.42,10.62,50
49,38,11,22.45,8.52,8.71,8.42,6.7,10.26,50
49,35,14,28.57,9.83,7.23,10.86,12.14,13.21,50
39,30,9,23.08,10.78,7.83,13.82,10.79,11.82,50
38,33,5,13.16,10.01,8.66,11.68,11.34,8.0,50
40,29,11,27.5,9.04,7.93,10.62,7.45,14.95,50
43,30,13,30.23,10.18,7.39,12.47,12.12,12.77,50
41,26,15,36.59,10.04,9.82,9.8,9.68,13.17,50
32,18,14,43.75,11.43,6.64,10.7,11.9,26.42,50
46,35,11,23.91,9.53,8.47,8.16,11.35,12.44,50
33,24,9,27.27,8.93,8.9,9.11,8.85,8.52,50
40,24,16,40.0,12.03,13.52,11.6,10.59,12.8,50
38,24,14,36.84,10.59,9.89,14.49,9.59,10.22,50
44,33,11,25.0,8.87,7.88,9.38,9.12,9.63,50
38,33,5,13.16,8.87,8.35,9.16,9.34,8.53,50
32,25,7,21.88,9.83,10.26,9.52,9.89,9.29,50
44,25,19,43.18,9.12,7.36,9.13,13.12,10.37,50
38,32,6,15.79,10.41,10.92,8.74,11.26,10.38,50
40,33,7,17.5,8.77,7.0,8.77,10.41,13.23,50
45,28,17,37.78,9.25,8.46,8.23,9.89,10.08,50
32,19,13,40.62,9.65,10.27,8.16,9.57,11.04,50
42,28,14,33.33,9.68,9.23,10.32,6.6,11.34,50
39,24,15,38.46,10.59,6.61,11.18,12.09,13.31,50
39,30,9,23.08,10.43,9.15,10.95,12.49,9.58,50
42,26,16,38.1,10.26,10.38,10.9,6.69,10.17,50
47,30,17,36.17,9.69,7.78,11.82,10.32,9.42,50
45,29,16,35.56,9.18,8.18,10.27,8.9,10.86,50
46,27,19,41.3,10.97,8.29,12.51,17.76,8.66,50
32,21,11,34.38,11.5,9.57,11.75,15.47,8.66,50
45,25,20,44.44,9.17,8.89,10.12,7.56,12.64,50
42,23,19,45.24,11.15,7.22,12.18,12.26,12.59,50
45,38,7,15.56,10.54,7.54,14.52,11.4,9.38,50
41,24,17,41.46,9.95,6.29,12.16,9.2,11.57,50
51,36,15,29.41,9.78,8.74,10.68,9.48,11.92,50
42,30,12,28.57,10.43,8.47,8.81,12.17,14.22,50
36,24,12,33.33,11.47,7.57,11.8,16.43,11.27,50
41,29,12,29.27,11.34,11.83,11.48,9.33,13.95,50
40,36,4,10.0,9.79,8.51,10.16,11.38,9.83,50
36,26,10,27.78,8.81,8.32,9.65,9.99,7.08,50
38,28,10,26.32,12.38,10.76,12.39,11.2,18.48,50
41,31,10,24.39,11.11,8.34,12.38,18.17,11.92,50
37,31,6,16.22,10.87,8.29,12.04,13.39,9.9,50
36,24,12,33.33,9.51,9.15,10.4,9.14,10.09,50
40,27,13,32.5,10.0,8.08,10.28,11.2,12.49,50
38,29,9,23.68,10.4,11.06,8.57,10.36,12.3,50
45,31,14,31.11,9.85,8.79,10.87,9.26,11.34,50
47,25,22,46.81,8.18,6.76,8.82,3.46,10.73,50
40,32,8,20.0,10.75,9.08,10.22,11.03,12.73,50
42,28,14,33.33,9.06,7.76,8.51,10.1,14.42,50
39,24,15,38.46,12.34,9.74,14.22,12.72,10.61,50
35,29,6,17.14,8.9,5.64,10.06,9.47,8.86,50
39,32,7,17.95,9.13,9.19,9.31,8.32,10.5,50
35,28,7,20.0,9.45,7.9,6.63,11.3,13.36,50
35,28,7,20.0,9.52,7.89,9.29,9.66,12.99,50
49,32,17,34.69,11.25,11.7,10.85,11.57,10.6,50
39,28,11,28.21,11.13,7.6,13.41,11.61,9.9,50
45,34,11,24.44,10.73,9.25,11.57,10.4,16.56,50
42,24,18,42.86,9.28,7.61,8.78,15.19,10.88,50
44,33,11,25.0,9.75,8.69,11.61,10.21,12.45,50
35,28,7,20.0,9.08,8.34,6.97,16.65,9.96,50
47,25,22,46.81,10.14,8.82,10.75,10.36,10.12,50
40,22,18,45.0,10.72,10.49,11.23,12.85,8.39,50
36,23,13,36.11,11.35,9.58,15.11,15.38,9.76,50
36,31,5,13.89,9.33,8.62,9.73,9.17,10.66,50
36,27,9,25.0,12.15,13.88,9.71,12.87,9.94,50
43,31,12,27.91,8.31,7.5,9.83,7.2,5.28,50
41,26,15,36.59,10.96,10.97,9.56,12.95,7.87,50
46,34,12,26.09,9.66,8.12,10.33,10.18,10.07,50
42,34,8,19.05,10.64,8.78,13.32,10.51,10.64,50
45,24,21,46.67,10.25,8.04,11.73,10.4,0,50
40,24,16,40.0,10.0,9.24,8.96,12.55,10.51,50
48,31,17,35.42,11.88,11.32,13.72,11.2,10.99,50
37,28,9,24.32,9.39,7.88,9.76,11.44,7.46,50
39,26,13,33.33,11.77,9.07,14.99,12.99,12.85,50
38,33,5,13.16,10.65,9.59,10.7,10.23,13.89,50
42,35,7,16.67,10.9,10.34,10.0,12.28,11.83,50
38,29,9,23.68,10.49,9.59,12.28,8.27,15.24,50
37,28,9,24.32,13.5,13.15,15.78,10.81,15.61,50
43,29,14,32.56,10.06,8.69,10.14,14.09,10.34,50
43,28,15,34.88,11.93,12.21,10.81,12.84,11.55,50
45,29,16,35.56,9.82,8.63,11.3,9.71,8.01,50
44,31,13,29.55,11.51,9.51,13.03,14.62,9.45,50
51,28,23,45.1,11.64,11.13,13.15,12.03,6.07,50
45,28,17,37.78,11.16,9.65,13.06,13.59,8.13,50
31,25,6,19.35,9.05,9.2,8.84,9.49,8.25,50
40,26,14,35.0,9.95,9.83,8.53,9.21,15.17,50
36,26,10,27.78,11.22,8.83,11.32,12.38,15.32,50
28,20,8,28.57,10.69,10.1,11.46,10.42,9.03,50
46,34,12,26.09,9.57,7.8,9.6,10.77,11.46,50
40,32,8,20.0,10.82,9.12,9.76,15.28,11.17,50
41,30,11,26.83,10.74,11.03,11.15,11.95,7.68,50
31,22,9,29.03,9.65,11.58,8.89,9.51,10.14,50
35,21,14,40.0,10.91,8.47,15.98,12.37,9.76,50
43,25,18,41.86,9.59,9.38,8.79,13.59,5.91,50
40,22,18,45.0,10.92,7.34,11.3,12.92,11.75,50
38,31,7,18.42,8.92,7.54,12.66,8.7,9.83,50
38,28,10,26.32,10.61,9.21,13.9,10.92,10.45,50
40,30,10,25.0,10.64,10.39,11.33,9.47,12.69,50
33,29,4,12.12,9.71,8.82,10.9,7.34,10.54,50
38,30,8,21.05,9.29,6.63,12.35,9.83,9.66,50
40,26,14,35.0,10.06,9.11,11.34,7.94,18.46,50
52,33,19,36.54,9.52,10.14,9.37,8.09,9.09,50
41,25,16,39.02,10.55,9.97,10.35,10.83,12.23,50
44,28,16,36.36,9.88,9.6,9.78,11.15,0,50
41,35,6,14.63,10.3,6.46,11.85,12.77,10.28,50
33,28,5,15.15,9.74,9.44,8.58,10.46,11.46,50
39,31,8,20.51,10.33,8.73,10.91,12.24,10.32,50
35,25,10,28.57,11.46,9.72,10.85,14.44,9.85,50
40,27,13,32.5,9.13,6.78,10.59,9.82,10.53,50
40,23,17,42.5,8.63,7.28,8.94,10.35,9.57,50
45,41,4,8.89,9.27,8.0,9.69,10.19,10.6,50
48,31,17,35.42,10.78,10.49,12.59,11.49,9.81,50
41,29,12,29.27,11.49,7.94,13.53,9.24,14.18,50
46,28,18,39.13,11.05,9.7,11.75,15.08,8.22,50
35,25,10,28.57,10.69,9.3,11.79,10.81,11.53,50
37,33,4,10.81,7.94,8.04,8.24,6.66,9.43,50
38,20,18,47.37,12.07,10.44,11.11,13.84,18.61,50
34,29,5,14.71,9.3,7.53,10.77,6.16,12.74,50
43,29,14,32.56,11.6,11.54,12.31,10.97,11.26,50
32,28,4,12.5,10.66,10.01,11.14,10.28,14.16,50
34,29,5,14.71,9.06,7.37,8.41,10.14,12.28,50
35,30,5,14.29,9.95,8.16,10.24,11.88,8.9,50
40,36,4,10.0,9.93,7.54,7.5,15.38,10.7,50
33,31,2,6.06,10.47,5.56,11.33,11.85,13.25,50
42,35,7,16.67,10.08,7.1,11.64,13.67,12.82,50
38,30,8,21.05,11.66,11.6,11.03,13.33,11.29,50
48,32,16,33.33,10.43,8.54,10.68,11.9,15.13,50
39,34,5,12.82,9.94,8.81,10.06,11.31,11.97,50
40,30,10,25.0,12.41,10.03,14.06,13.26,13.09,50
37,29,8,21.62,10.74,9.41,12.31,8.52,12.22,50
44,36,8,18.18,10.58,8.35,12.74,13.92,12.21,50
45,28,17,37.78,9.78,8.68,7.65,11.94,15.15,50
36,27,9,25.0,10.44,9.88,9.61,11.39,10.95,50
39,35,4,10.26,9.43,7.5,10.98,9.34,9.44,50
34,26,8,23.53,11.53,9.4,14.37,13.97,7.28,50
51,27,24,47.06,11.2,11.13,11.64,9.79,10.98,50
47,23,24,51.06,10.33,7.69,14.45,8.17,11.61,50
39,21,18,46.15,9.88,7.85,10.42,15.12,11.05,50
36,31,5,13.89,11.71,8.01,14.81,11.89,9.99,50
42,28,14,33.33,10.31,7.16,12.66,13.25,9.28,50
45,28,17,37.78,10.26,10.88,10.51,9.01,8.1,50
30,28,2,6.67,8.36,6.1,9.69,9.07,9.3,50
39,19,20,51.28,11.53,11.48,14.09,6.73,9.78,50
41,35,6,14.63,10.42,8.19,11.91,13.04,10.73,50
39,25,14,35.9,11.17,10.38,10.72,12.93,12.44,50
40,29,11,27.5,10.07,8.73,10.95,14.66,8.18,50
36,22,14,38.89,10.33,12.27,9.32,9.63,9.35,50
46,29,17,36.96,9.98,8.8,10.98,11.23,8.89,50
40,29,11,27.5,9.27,8.08,10.73,10.16,11.59,50
49,28,21,42.86,10.91,9.88,11.9,13.06,9.47,50
42,34,8,19.05,9.86,9.4,11.46,10.88,7.55,50
39,33,6,15.38,9.77,7.72,8.62,9.6,13.92,50
48,29,19,39.58,10.02,9.05,11.03,9.12,10.57,50
34,28,6,17.65,8.53,5.96,8.77,8.36,12.87,50
45,26,19,42.22,11.62,7.77,12.15,14.61,14.23,50
46,37,9,19.57,10.57,10.73,9.63,11.02,12.59,50
36,29,7,19.44,10.61,10.02,10.71,13.17,9.99,50
37,32,5,13.51,9.2,8.69,9.31,9.96,0,50
39,30,9,23.08,9.53,9.34,9.04,9.01,10.4,50
43,26,17,39.53,8.7,7.24,10.06,10.24,7.25,50
41,29,12,29.27,10.55,7.36,12.05,12.41,17.39,50
40,32,8,20.0,9.53,9.97,9.26,8.68,11.41,50
34,26,8,23.53,10.28,8.05,13.68,9.44,8.99,50
40,29,11,27.5,11.64,10.05,13.2,12.28,8.47,50
46,32,14,30.43,11.04,8.84,12.79,12.06,11.32,50
35,31,4,11.43,10.43,8.31,12.11,9.65,12.24,50
37,24,13,35.14,11.37,10.36,10.4,15.66,9.68,50
34,24,10,29.41,9.61,8.32,8.97,11.22,10.14,50
35,31,4,11.43,11.04,12.58,10.49,12.81,7.66,50
42,26,16,38.1,8.93,7.04,10.31,12.05,4.25,50
32,23,9,28.12,10.55,11.1,9.96,12.03,8.17,50
41,29,12,29.27,8.72,8.36,8.0,9.71,10.28,50
42,33,9,21.43,9.71,7.86,11.2,10.47,9.34,50
42,27,15,35.71,10.79,7.51,11.84,14.52,9.15,50
41,28,13,31.71,9.99,7.35,10.17,11.55,15.09,50
43,26,17,39.53,8.78,7.66,9.61,8.46,13.78,50
45,35,10,22.22,9.26,8.24,10.72,10.91,5.5,50
36,35,1,2.78,10.78,10.87,9.98,11.39,11.99,50
30,23,7,23.33,9.43,8.32,12.35,9.22,10.76,50
39,24,15,38.46,12.24,10.35,11.2,16.52,11.12,50
36,21,15,41.67,10.08,8.56,10.88,10.3,12.04,50
46,28,18,39.13,9.64,8.26,11.48,12.29,9.51,50
37,23,14,37.84,10.28,8.34,8.5,17.44,14.75,50
49,28,21,42.86,11.03,10.14,13.7,16.52,8.56,50
31,18,13,41.94,9.93,7.74,11.35,10.88,10.35,50
38,23,15,39.47,10.36,8.53,12.53,7.61,13.55,50
32,28,4,12.5,10.75,9.59,10.12,13.23,8.78,50
30,26,4,13.33,11.0,7.29,12.72,14.9,15.4,50
39,31,8,20.51,10.0,8.83,9.86,10.56,12.76,50
44,28,16,36.36,9.28,11.03,7.5,10.41,7.33,50
37,28,9,24.32,10.62,10.95,9.46,10.95,12.39,50
40,39,1,2.5,8.52,7.22,8.17,10.4,9.87,50
37,30,7,18.92,10.23,9.65,11.58,12.73,8.89,50
37,26,11,29.73,9.78,8.27,11.18,11.41,8.81,50
43,32,11,25.58,11.71,11.45,11.97,12.16,9.08,50
47,33,14,29.79,10.26,10.04,9.08,12.37,10.25,50
39,29,10,25.64,10.75,7.53,11.99,12.62,10.26,50
37,33,4,10.81,10.56,8.8,12.31,11.21,11.19,50
33,22,11,33.33,9.26,7.91,0,9.61,12.12,50
44,23,21,47.73,10.0,6.37,11.11,12.36,10.01,50
40,27,13,32.5,9.58,8.94,9.76,10.39,9.73,50
37,27,10,27.03,9.51,9.54,8.69,8.18,11.4,50
44,18,26,59.09,10.57,9.39,10.54,15.94,10.59,50
38,24,14,36.84,10.71,8.91,11.8,13.13,6.36,50
39,28,11,28.21,12.97,11.47,15.43,13.14,6.76,50
40,33,7,17.5,9.7,7.41,10.45,11.23,6.66,50
43,28,15,34.88,8.68,7.73,10.52,8.96,10.23,50
44,32,12,27.27,10.61,8.87,12.35,11.37,10.33,50
40,28,12,30.0,9.46,8.49,8.79,14.35,8.66,50
34,27,7,20.59,10.04,8.21,9.63,12.04,8.77,50
31,25,6,19.35,11.66,10.86,10.81,12.48,13.32,50
38,34,4,10.53,9.48,9.56,9.86,8.44,10.32,50
43,23,20,46.51,12.62,9.72,14.43,15.4,6.46,50
43,34,9,20.93,10.12,8.6,10.8,11.07,11.88,50
37,27,10,27.03,10.93,7.61,12.56,11.1,9.76,50
32,24,8,25.0,11.83,9.13,12.35,13.46,13.24,50
35,27,8,22.86,8.35,6.79,6.72,11.11,9.86,50
36,25,11,30.56,8.88,7.91,11.55,8.79,8.14,50
41,28,13,31.71,11.68,9.31,14.27,12.84,9.76,50
37,22,15,40.54,10.2,7.45,13.88,12.71,10.19,50
43,29,14,32.56,12.45,10.82,11.68,14.32,17.52,50
29,25,4,13.79,9.2,7.46,8.09,12.51,9.03,50
40,24,16,40.0,9.02,6.79,10.51,10.96,8.25,50
35,28,7,20.0,9.83,8.47,8.03,11.64,14.05,50
29,16,13,44.83,12.98,13.14,12.95,12.37,13.67,50
49,40,9,18.37,11.49,10.16,13.95,12.05,7.46,50
41,27,14,34.15,10.64,9.39,12.15,9.52,11.77,50
33,24,9,27.27,9.7,8.91,8.39,11.76,10.4,50
40,29,11,27.5,10.9,9.75,11.99,11.51,0,50
42,28,14,33.33,10.49,9.52,7.22,15.35,11.89,50
35,27,8,22.86,9.36,9.03,9.77,9.01,10.22,50
42,26,16,38.1,9.63,7.92,9.69,11.27,10.29,50
38,30,8,21.05,10.12,10.23,9.62,11.29,8.5,50
41,21,20,48.78,10.06,7.8,9.71,15.63,10.12,50
42,32,10,23.81,10.41,10.56,9.68,11.35,9.54,50
43,35,8,18.6,10.74,9.75,11.01,13.08,10.41,50
37,34,3,8.11,10.06,9.56,7.21,11.64,9.47,50
38,28,10,26.32,10.54,9.45,9.59,10.9,16.96,50
46,38,8,17.39,9.96,8.64,11.35,12.89,8.4,50
41,35,6,14.63,9.68,7.8,10.01,10.96,13.25,50
33,23,10,30.3,10.75,10.33,9.16,14.66,9.97,50
45,29,16,35.56,12.25,13.06,11.94,11.43,11.91,50
37,32,5,13.51,9.59,7.36,10.03,10.45,10.21,50
34,24,10,29.41,11.67,11.53,12.55,11.2,13.08,50
49,39,10,20.41,11.18,8.74,11.14,13.83,13.12,50
42,35,7,16.67,11.73,10.59,8.67,15.92,11.22,50
46,34,12,26.09,10.31,8.11,12.46,10.86,12.86,50
33,26,7,21.21,10.39,8.95,11.33,10.12,11.54,50
43,31,12,27.91,10.09,9.01,9.81,11.09,10.37,50
40,28,12,30.0,9.51,7.58,10.25,12.57,10.01,50
48,30,18,37.5,9.22,8.14,9.9,9.74,12.79,50
42,26,16,38.1,9.03,8.58,10.18,6.92,9.91,50
42,33,9,21.43,9.91,7.52,11.52,9.23,12.82,50
41,29,12,29.27,12.23,8.93,12.25,15.15,16.29,50
38,27,11,28.95,9.68,7.8,10.11,10.49,12.82,50
40,25,15,37.5,9.17,7.34,11.4,10.67,9.5,50
37,23,14,37.84,10.56,7.88,11.56,12.32,8.8,50
33,29,4,12.12,9.87,8.41,11.59,8.05,12.99,50
42,28,14,33.33,9.25,8.26,9.76,9.05,13.7,50
37,28,9,24.32,10.5,10.3,10.93,9.61,12.42,50
41,37,4,9.76,10.6,10.91,11.06,11.25,7.89,50
41,31,10,24.39,9.61,7.36,9.66,12.44,11.42,50
33,23,10,30.3,8.81,8.18,9.33,10.99,6.97,50
44,34,10,22.73,9.59,8.25,8.55,10.15,15.53,50
38,28,10,26.32,9.83,9.33,9.54,11.68,7.68,50
34,27,7,20.59,10.16,7.81,9.42,11.76,12.96,50
36,28,8,22.22,11.14,8.14,12.93,11.8,12.81,50
43,37,6,13.95,11.21,9.1,13.06,11.62,10.42,50
43,34,9,20.93,10.0,9.22,10.5,11.62,7.14,50
39,26,13,33.33,9.53,8.99,7.93,11.37,12.15,50
44,25,19,43.18,10.86,10.23,10.82,8.93,13.34,50
46,33,13,28.26,10.69,9.62,12.46,10.86,9.79,50
44,32,12,27.27,8.7,7.21,9.73,9.51,10.14,50
40,30,10,25.0,10.57,10.82,6.47,13.49,12.34,50
36,27,9,25.0,9.55,8.49,10.97,11.01,7.71,50
45,33,12,26.67,9.72,8.72,11.69,9.63,7.66,50
40,30,10,25.0,11.15,8.17,14.1,10.78,11.5,50
31,22,9,29.03,11.01,8.9,12.02,10.72,11.07,50
36,30,6,16.67,10.02,10.3,8.74,11.46,7.9,50
33,29,4,12.12,12.23,11.46,16.54,12.71,10.11,50
41,24,17,41.46,12.57,11.64,15.06,11.33,10.97,50
42,26,16,38.1,12.15,13.2,10.56,13.82,13.34,50
34,28,6,17.65,10.03,7.79,9.25,10.24,13.07,50
41,22,19,46.34,11.79,10.9,10.88,14.87,11.85,50
40,27,13,32.5,9.31,7.69,11.73,9.7,8.41,50
38,24,14,36.84,10.44,9.08,11.3,11.97,9.91,50
41,34,7,17.07,9.51,8.42,9.99,10.09,9.31,50
41,31,10,24.39,11.83,11.76,13.22,10.63,8.72,50
52,28,24,46.15,13.47,10.44,16.05,14.13,11.97,50
45,30,15,33.33,9.07,8.77,7.62,10.55,10.5,50
37,23,14,37.84,11.52,10.55,10.54,13.98,13.45,50
46,33,13,28.26,13.04,12.42,13.9,12.36,0,50
41,30,11,26.83,11.33,8.1,13.26,13.63,9.52,50
37,31,6,16.22,10.18,8.53,9.49,11.39,11.89,50
42,29,13,30.95,10.39,7.49,12.79,12.26,9.71,50
48,32,16,33.33,11.29,8.81,12.29,12.23,11.13,50
38,30,8,21.05,10.06,6.45,9.47,13.42,10.66,50
38,28,10,26.32,11.2,10.24,12.41,12.34,9.79,50
46,26,20,43.48,9.17,6.76,11.07,11.4,5.08,50
31,28,3,9.68,9.46,10.52,7.52,10.42,11.11,50
28,26,2,7.14,10.15,8.66,9.36,8.89,14.74,50
37,28,9,24.32,10.46,8.33,12.61,10.93,17.23,50
34,27,7,20.59,10.0,11.35,8.33,7.21,13.63,50
38,26,12,31.58,9.95,7.2,10.6,12.62,9.13,50
38,23,15,39.47,9.67,8.92,8.42,6.6,14.0,50
38,30,8,21.05,12.12,10.7,11.01,14.38,15.11,50
34,32,2,5.88,9.78,8.43,11.94,8.96,10.69,50
44,31,13,29.55,10.12,9.63,8.04,11.83,10.62,50
39,34,5,12.82,10.29,9.79,9.27,12.43,9.81,50
43,28,15,34.88,10.28,8.36,10.14,11.55,19.1,50
54,35,19,35.19,9.77,9.11,9.54,10.79,11.06,50
38,25,13,34.21,11.64,10.21,14.11,13.56,7.58,50
41,25,16,39.02,9.99,8.99,8.6,15.98,12.88,50
47,34,13,27.66,9.21,7.45,9.83,9.99,11.69,50
40,28,12,30.0,10.23,10.18,11.21,8.31,10.16,50
52,28,24,46.15,9.53,9.01,9.26,11.0,11.14,50
36,29,7,19.44,12.22,9.4,14.03,13.48,10.82,50
36,28,8,22.22,11.72,9.4,13.36,14.46,10.2,50
39,23,16,41.03,9.32,7.52,9.61,14.22,7.49,50
43,25,18,41.86,10.26,8.02,12.44,9.17,17.41,50
