Total,Answered,Expired,%Expired,MRT,MRT1,MRT2,MRT3,MRT4,#Runs
36,26,10,27.78,9.07,7.67,9.07,8.98,13.33,50
39,29,10,25.64,9.33,9.15,11.41,7.11,10.19,50
45,39,6,13.33,9.78,9.81,10.01,9.58,9.8,50
42,28,14,33.33,11.14,10.11,10.79,12.22,11.3,50
36,27,9,25.0,11.02,10.07,13.91,13.87,8.47,50
39,28,11,28.21,9.57,7.4,10.19,10.25,12.78,50
38,24,14,36.84,10.0,8.35,9.65,16.08,10.04,50
35,25,10,28.57,8.92,7.11,9.29,10.76,18.91,50
36,31,5,13.89,9.74,8.25,10.47,7.67,10.28,50
42,29,13,30.95,8.58,6.61,9.58,10.93,10.08,50
37,29,8,21.62,11.54,8.53,14.75,9.86,14.24,50
43,36,7,16.28,8.97,8.37,9.73,8.77,8.34,50
43,32,11,25.58,8.93,7.33,9.51,10.45,7.83,50
45,29,16,35.56,9.06,7.14,11.01,9.93,9.57,50
42,36,6,14.29,9.24,6.75,9.71,10.87,10.38,50
43,38,5,11.63,10.04,8.37,10.68,10.59,15.09,50
34,28,6,17.65,11.11,8.18,14.44,11.39,11.32,50
40,28,12,30.0,10.63,9.51,12.56,10.95,9.88,50
40,32,8,20.0,9.98,7.14,10.37,12.98,9.15,50
40,28,12,30.0,9.69,6.71,10.55,11.16,8.6,50
46,25,21,45.65,11.97,11.82,11.31,12.52,13.76,50
34,29,5,14.71,9.51,7.35,7.8,11.59,11.14,50
45,32,13,28.89,12.2,12.05,12.91,12.32,10.15,50
43,31,12,27.91,13.48,11.82,14.6,15.92,9.87,50
43,30,13,30.23,10.92,11.69,11.9,9.8,8.58,50
40,30,10,25.0,10.11,9.56,11.19,9.96,8.07,50
36,28,8,22.22,10.04,8.29,11.72,11.33,8.8,50
40,25,15,37.5,11.21,11.58,9.52,14.38,10.81,50
38,30,8,21.05,9.58,9.74,8.62,11.47,7.63,50
33,29,4,12.12,9.4,7.04,9.63,6.76,11.82,50
39,26,13,33.33,10.27,7.85,11.9,12.18,9.33,50
34,27,7,20.59,8.82,8.43,7.13,7.75,16.5,50
45,32,13,28.89,10.85,8.13,14.3,9.82,12.18,50
38,25,13,34.21,9.93,9.1,11.35,10.71,5.97,50
42,27,15,35.71,10.18,10.51,9.9,9.82,10.95,50
37,31,6,16.22,9.85,7.15,12.52,9.26,13.07,50
48,35,13,27.08,10.82,8.91,14.21,10.09,11.75,50
37,28,9,24.32,10.05,8.48,13.7,10.5,10.19,50
41,23,18,43.9,10.28,9.08,11.47,9.38,12.79,50
41,27,14,34.15,11.28,10.17,10.37,11.92,13.83,50
31,25,6,19.35,10.52,9.13,10.56,9.48,15.32,50
38,25,13,34.21,9.32,9.71,7.34,10.82,8.15,50
24,20,4,16.67,12.14,9.68,10.24,16.81,10.64,50
34,18,16,47.06,9.77,8.34,8.22,10.72,13.17,50
47,30,17,36.17,9.62,10.08,7.87,10.28,9.04,50
